Region,Year,Season,ACI_Combined_Seasonal_Smoothed,ACI_Combined_Seasonal_Unsmoothed,CDD_Seasonal_Smoothed,CDD_Seasonal_Unsmoothed,CDD_Seasonal_Unsmoothed_Unstandardized,Rx5Day_Seasonal_Smoothed,Rx5Day_Seasonal_Unsmoothed,Rx5Day_Seasonal_Unsmoothed_Unstandardized,Sea_Level_Seasonal_Smoothed,Sea_Level_Seasonal_Unsmoothed,Sea_Level_Seasonal_Unsmoothed_Unstandardized,T10_Seasonal_Smoothed,T10_Seasonal_Unsmoothed,T10_Seasonal_Unsmoothed_Unstandardized,T90_Seasonal_Smoothed,T90_Seasonal_Unsmoothed,T90_Seasonal_Unsmoothed_Unstandardized,WP90_Seasonal_Smoothed,WP90_Seasonal_Unsmoothed,WP90_Seasonal_Unsmoothed_Unstandardized
NPL,1995,3,-0.2,-0.25,-0.19,-0.71,28.63,0.0,1.01,40.93,-1.51,-1.51,7020.0,-0.05,-0.1,9.63,0.1,0.04,10.34,0.32,-0.35,9.3
NWP,1995,3,0.33,0.09,-0.09,-0.11,23.47,0.7,0.73,39.04,-0.19,-0.19,6976.74,-0.52,-0.41,8.48,0.72,0.31,11.09,0.32,0.21,10.49
SEA,1995,3,0.29,1.31,-1.06,-1.34,19.56,0.31,1.66,78.35,1.48,1.48,7182.9,-0.49,-0.86,6.81,0.15,1.21,14.95,0.35,2.2,15.84
SPL,1995,3,0.13,0.55,-1.15,-1.27,35.86,0.7,1.68,49.15,1.52,1.52,7193.0,0.05,0.58,11.11,-0.12,0.27,10.34,-0.11,0.72,11.84
SWP,1995,3,0.13,0.4,-0.79,0.27,71.48,0.44,0.28,20.04,1.13,1.13,7093.92,-0.26,1.09,12.16,0.12,0.79,11.8,-0.37,0.82,13.42
CAN,1995,3,0.1,0.27,-0.61,-0.99,22.65,0.47,0.89,41.37,-0.41,-0.41,6893.38,-0.25,-1.22,7.17,0.25,1.39,13.85,0.66,0.61,10.7
USA,1995,3,0.14,0.9,-1.32,-0.52,38.31,0.72,1.85,44.9,0.97,0.97,7080.55,-0.35,-0.53,8.83,0.18,0.97,12.01,-0.05,0.57,10.96
USC,1995,3,0.16,0.87,-1.31,-0.65,34.37,0.85,2.26,43.97,0.47,0.47,7041.15,-0.33,-1.01,8.19,0.25,1.34,12.73,0.4,0.77,10.84
ALA,1995,4,-0.11,0.15,-0.56,0.07,35.36,0.36,-0.3,32.22,-1.55,-1.55,7020.09,-0.51,-1.63,2.39,0.49,1.37,16.93,0.06,-0.33,9.4
CAR,1995,4,0.46,0.27,,,,-0.05,-1.58,7.98,,,,-0.47,-1.16,5.26,0.51,0.67,12.61,0.89,0.82,11.97
CEA,1995,4,0.2,0.86,-0.87,1.57,19.62,-0.14,1.13,59.09,1.17,1.17,7119.93,-0.44,0.15,10.3,0.23,-0.67,7.2,0.39,1.51,15.21
CWP,1995,4,0.1,0.49,-0.51,-1.14,36.93,0.54,1.03,42.33,0.29,0.29,7016.27,-0.31,-0.58,6.6,0.37,2.17,17.99,-0.41,0.21,10.64
MID,1995,4,-0.15,-0.44,-0.8,0.23,24.36,0.25,-0.49,39.71,,,,0.18,1.48,15.49,-0.16,-1.5,4.51,0.14,1.02,13.4
NEA,1995,4,-0.16,0.27,-1.04,-1.61,12.59,-0.14,-0.18,45.9,0.86,0.86,7070.0,0.18,-0.67,6.88,-0.11,0.34,11.55,-0.37,0.87,12.28
NEF,1995,4,-0.13,0.0,-1.04,-0.42,16.9,0.13,1.0,44.12,-0.18,-0.18,6770.33,-0.06,0.71,12.63,0.01,-0.74,7.57,0.24,1.56,13.05
NPL,1995,4,-0.23,-0.67,-0.19,-0.95,27.78,0.03,-0.01,19.26,-1.54,-1.54,7120.0,-0.02,0.19,11.26,0.08,-0.36,8.84,0.21,-1.26,6.75
NWP,1995,4,0.32,0.17,-0.09,0.24,24.29,0.64,-0.46,49.0,-0.2,-0.2,7023.22,-0.56,-0.78,6.0,0.81,1.3,15.42,0.2,-0.54,8.72
SEA,1995,4,0.3,0.54,-1.05,-0.75,20.75,0.36,0.83,66.42,1.58,1.58,7234.08,-0.43,-0.07,9.56,0.06,-0.76,6.45,0.42,1.19,12.95
SPL,1995,4,0.12,0.25,-1.17,-1.17,36.19,0.7,-0.47,32.24,1.62,1.62,7335.0,0.1,0.29,11.2,-0.22,-0.09,9.65,-0.12,0.83,11.93
SWP,1995,4,0.14,0.25,-0.71,0.55,73.7,0.38,-1.73,13.0,1.12,1.12,7095.08,-0.27,-0.92,6.26,0.16,2.39,16.33,-0.39,-0.87,6.43
CAN,1995,4,0.09,-0.12,-0.61,-0.95,22.72,0.47,0.26,36.91,-0.45,-0.45,6953.17,-0.25,-0.19,9.42,0.27,0.11,10.53,0.6,0.53,10.85
USA,1995,4,0.16,0.5,-1.25,-0.24,39.06,0.73,-0.34,36.57,1.06,1.06,7128.49,-0.33,-0.4,8.9,0.14,0.81,11.36,-0.06,0.55,10.97
USC,1995,4,0.17,0.33,-1.25,-0.38,34.95,0.86,-0.23,36.76,0.53,0.53,7091.58,-0.31,-0.32,9.13,0.24,0.51,10.98,0.35,0.72,10.91
ALA,1996,1,-0.11,0.02,-0.52,0.26,36.19,0.28,0.15,21.53,-1.53,-1.53,6972.99,-0.52,-0.43,7.81,0.47,-0.48,7.48,0.1,1.77,14.21
CAR,1996,1,0.43,-0.15,,,,-0.08,-0.45,8.66,,,,-0.45,0.37,12.29,0.49,-0.4,8.81,0.85,0.61,11.8
CEA,1996,1,0.23,0.89,-0.7,1.79,20.01,-0.13,0.36,40.33,1.24,1.24,7055.23,-0.34,0.42,12.38,0.14,0.1,10.32,0.48,1.29,13.47
CWP,1996,1,0.17,0.97,-0.54,-1.47,34.52,0.74,3.27,82.37,0.39,0.39,7217.27,-0.32,0.17,10.87,0.43,1.5,16.3,-0.33,1.32,14.7
MID,1996,1,-0.14,0.32,-0.73,0.38,24.74,0.22,-0.11,23.98,,,,0.24,0.57,13.17,-0.16,0.32,11.3,0.21,1.58,14.07
NEA,1996,1,-0.13,0.32,-1.07,-1.79,12.29,-0.13,0.23,42.73,0.97,0.97,7098.33,0.19,0.11,10.84,-0.04,1.74,15.89,-0.36,-0.33,9.12
NEF,1996,1,-0.13,0.45,-0.98,-0.25,17.18,0.23,1.76,31.35,-0.17,-0.17,6943.67,0.01,0.77,13.21,-0.04,0.14,10.6,0.2,0.93,11.56
NPL,1996,1,-0.27,-0.57,-0.21,-1.16,27.03,0.1,0.6,13.29,-1.58,-1.58,6963.33,0.04,1.25,16.79,0.03,-0.06,10.06,0.11,0.22,10.67
NWP,1996,1,0.32,0.39,-0.1,0.34,24.52,0.64,1.38,53.05,-0.11,-0.11,7151.93,-0.52,0.83,15.41,0.79,0.13,11.02,0.15,0.38,10.8
SEA,1996,1,0.28,0.29,-1.04,-0.45,21.35,0.26,-0.48,51.75,1.58,1.58,7021.75,-0.34,0.5,12.5,0.04,0.4,11.76,0.5,1.63,13.17
SPL,1996,1,0.14,0.38,-1.17,-0.9,37.05,0.68,-0.67,16.84,1.58,1.58,7026.78,0.14,0.53,12.45,-0.12,2.13,16.69,-0.02,1.44,12.82
SWP,1996,1,0.22,0.94,-0.6,0.78,75.53,0.47,0.84,36.49,1.15,1.15,7074.29,-0.32,-0.69,7.06,0.3,2.48,20.76,-0.32,0.32,11.24
CAN,1996,1,0.08,0.22,-0.61,-1.04,22.58,0.52,1.75,31.16,-0.39,-0.39,7071.71,-0.19,0.99,14.11,0.23,0.09,10.65,0.53,0.6,11.09
USA,1996,1,0.21,0.93,-1.17,0.01,39.74,0.76,0.78,33.36,1.12,1.12,7050.26,-0.29,0.17,10.69,0.2,1.65,14.34,0.07,2.2,13.14
USC,1996,1,0.2,0.79,-1.17,-0.17,35.43,0.9,1.32,32.64,0.59,0.59,7054.78,-0.26,0.6,12.2,0.24,0.92,12.67,0.39,2.13,12.12
ALA,1996,2,-0.12,-0.41,-0.48,0.35,36.56,0.17,-0.37,18.26,-1.59,-1.59,6829.19,-0.51,-0.91,3.04,0.52,1.04,15.98,0.13,-0.73,7.97
CAR,1996,2,0.38,-0.02,,,,-0.21,-0.81,9.38,,,,-0.4,-0.04,10.11,0.43,-0.33,9.02,0.91,1.01,12.54
CEA,1996,2,0.19,0.27,-0.61,0.77,18.16,-0.1,0.71,49.59,1.26,1.26,7079.61,-0.17,1.11,12.99,-0.02,-0.78,6.96,0.43,0.48,11.17
CWP,1996,2,0.17,0.3,-0.57,-1.33,35.49,0.71,1.98,44.76,0.43,0.43,7027.73,-0.32,-0.44,7.98,0.5,0.28,11.05,-0.37,-0.35,9.23
MID,1996,2,-0.22,-0.35,-0.69,0.09,23.98,0.18,0.45,45.52,,,,0.44,2.31,17.68,-0.34,-1.1,5.39,0.18,1.14,13.11
NEA,1996,2,-0.13,0.13,-1.08,-1.7,12.44,-0.18,-0.32,39.69,1.03,1.03,7058.33,0.18,-0.64,7.06,-0.06,-0.25,8.98,-0.3,-0.01,9.99
NEF,1996,2,-0.18,-0.26,-0.94,-0.45,16.85,0.2,1.11,37.35,-0.19,-0.19,7262.33,0.17,1.28,13.93,-0.18,-1.29,4.68,0.18,0.06,10.14
NPL,1996,2,-0.33,-0.71,-0.23,-1.31,26.5,0.02,0.84,20.52,-1.66,-1.66,6866.67,0.15,1.33,16.54,-0.05,-0.91,5.37,0.08,-0.07,9.85
NWP,1996,2,0.33,0.5,-0.12,-0.06,23.58,0.68,1.19,37.16,-0.07,-0.07,7008.96,-0.47,0.1,10.29,0.8,0.16,10.72,0.22,1.24,12.59
SEA,1996,2,0.21,0.01,-1.04,-0.74,20.77,0.18,0.16,64.97,1.5,1.5,7036.39,-0.15,1.93,15.37,-0.12,-0.05,9.34,0.58,2.14,16.19
SPL,1996,2,0.1,0.11,-1.15,-0.29,38.98,0.58,-1.25,30.61,1.49,1.49,7091.0,0.27,1.3,14.11,-0.14,0.51,11.47,0.08,2.37,15.3
SWP,1996,2,0.26,0.75,-0.5,0.92,76.6,0.41,0.19,22.35,1.21,1.21,7008.5,-0.37,-0.99,6.07,0.42,1.66,17.19,-0.36,-0.05,9.77
CAN,1996,2,0.04,-0.03,-0.62,-1.4,22.03,0.47,1.58,31.09,-0.4,-0.4,7082.33,-0.08,0.73,12.66,0.15,-0.83,7.08,0.58,0.89,11.33
USA,1996,2,0.18,0.41,-1.09,0.22,40.29,0.64,0.25,36.96,1.08,1.08,7019.45,-0.18,0.49,11.05,0.18,0.84,11.86,0.09,1.27,12.29
USC,1996,2,0.17,0.32,-1.1,-0.05,35.7,0.79,0.59,35.28,0.57,0.57,7032.69,-0.14,0.66,11.72,0.18,-0.05,9.87,0.44,1.7,11.81
ALA,1996,3,-0.11,-0.17,-0.44,0.43,36.93,0.22,0.4,35.56,-1.63,-1.63,6869.46,-0.51,-0.14,8.75,0.48,-0.41,8.23,0.17,0.82,12.11
CAR,1996,3,0.33,-0.26,,,,-0.24,-0.09,24.92,,,,-0.41,0.21,10.55,0.37,-0.27,9.33,0.76,-0.47,9.29
CEA,1996,3,0.18,0.51,-0.58,-0.25,16.31,-0.03,0.93,58.7,1.3,1.3,7128.07,-0.15,-1.39,6.18,-0.12,-0.98,5.69,0.36,-0.43,9.07
CWP,1996,3,0.16,-0.16,-0.6,-1.2,36.46,0.66,-0.79,13.99,0.41,0.41,6923.2,-0.31,-0.37,8.42,0.55,0.89,13.04,-0.37,0.24,10.8
MID,1996,3,-0.24,-0.22,-0.66,-0.21,23.23,0.23,0.11,54.43,,,,0.51,-0.09,9.53,-0.41,-0.83,5.32,0.17,-0.27,9.26
NEA,1996,3,-0.14,0.03,-1.08,-1.62,12.58,-0.16,-0.19,46.62,1.01,1.01,7031.67,0.11,-0.61,8.18,-0.04,0.46,11.87,-0.42,-0.96,8.15
NEF,1996,3,-0.17,0.29,-0.92,-0.65,16.51,0.32,1.33,49.54,-0.09,-0.09,7045.0,0.2,-0.95,7.02,-0.25,-0.26,9.03,0.12,-0.7,8.81
NPL,1996,3,-0.36,-0.37,-0.26,-1.45,25.97,-0.03,-0.15,34.78,-1.67,-1.67,7006.67,0.19,-0.67,7.73,-0.09,0.1,10.55,0.08,0.3,10.63
NWP,1996,3,0.31,0.16,-0.16,-0.47,22.63,0.6,0.68,38.79,-0.07,-0.07,6996.19,-0.48,-0.09,9.36,0.77,-0.34,8.93,0.22,1.55,13.54
SEA,1996,3,0.2,0.36,-1.06,-1.03,20.18,0.18,0.49,69.85,1.43,1.43,7099.68,-0.13,-0.58,7.7,-0.16,-0.45,6.55,0.7,1.57,14.16
SPL,1996,3,0.11,0.41,-1.1,0.32,40.91,0.58,0.47,43.98,1.48,1.48,7090.45,0.31,-0.69,8.14,-0.12,0.03,9.52,0.11,0.01,10.05
SWP,1996,3,0.32,0.86,-0.4,1.05,77.66,0.37,0.06,19.38,1.22,1.22,7069.54,-0.47,-1.46,5.88,0.58,2.22,16.15,-0.33,-0.19,9.24
CAN,1996,3,0.02,0.0,-0.65,-1.76,21.47,0.44,0.66,40.76,-0.32,-0.32,7014.31,-0.07,-0.84,8.01,0.09,-0.13,9.74,0.47,-0.06,9.95
USA,1996,3,0.2,0.62,-1.02,0.42,40.84,0.67,0.66,42.01,1.07,1.07,7056.37,-0.17,-1.24,7.81,0.18,0.1,9.69,0.16,0.48,10.82
USC,1996,3,0.18,0.56,-1.04,0.08,35.97,0.81,0.94,41.67,0.6,0.6,7047.51,-0.13,-1.21,7.89,0.16,0.01,9.72,0.43,0.35,10.39
ALA,1996,4,-0.18,-1.03,-0.4,0.52,37.29,0.21,-0.54,31.02,-1.7,-1.7,6952.58,-0.34,2.25,20.31,0.42,-0.96,4.84,0.07,-0.55,8.98
CAR,1996,4,0.29,-0.17,,,,-0.36,-0.09,17.63,,,,-0.39,1.03,14.62,0.37,-1.13,6.52,0.78,1.56,13.76
CEA,1996,4,0.2,0.73,-0.64,-1.28,14.45,0.09,2.18,68.34,1.47,1.47,7206.09,-0.13,0.95,12.98,-0.22,-1.15,5.14,0.37,1.36,14.69
CWP,1996,4,0.16,-0.11,-0.65,-1.07,37.43,0.75,2.1,51.78,0.43,0.43,6993.87,-0.28,0.45,12.23,0.49,-0.4,8.31,-0.33,-0.45,8.64
MID,1996,4,-0.26,-0.37,-0.65,-0.5,22.47,0.18,0.28,46.36,,,,0.45,1.21,14.46,-0.51,-1.89,3.04,0.13,1.47,14.88
NEA,1996,4,-0.11,0.46,-1.06,-1.53,12.73,-0.16,0.85,52.84,1.12,1.12,7125.0,0.15,0.03,10.18,-0.07,-0.17,9.53,-0.35,0.8,12.1
NEF,1996,4,-0.15,0.13,-0.91,-0.86,16.18,0.42,1.89,48.22,0.01,0.01,6945.0,0.19,0.65,12.41,-0.28,-0.77,7.49,0.07,0.2,10.4
NPL,1996,4,-0.37,-0.72,-0.28,-1.6,25.44,0.02,1.27,24.44,-1.71,-1.71,7033.33,0.17,1.23,16.84,-0.12,-1.28,5.27,0.07,0.4,11.05
NWP,1996,4,0.26,-0.86,-0.23,-0.87,21.68,0.54,0.0,51.1,-0.05,-0.05,7009.89,-0.41,1.6,18.1,0.69,-1.42,4.28,0.2,-0.62,8.52
SEA,1996,4,0.22,0.41,-1.1,-1.31,19.6,0.26,0.91,67.15,1.46,1.46,7216.3,-0.17,0.37,11.24,-0.25,-1.06,5.21,0.77,2.04,15.06
SPL,1996,4,0.13,0.53,-1.02,0.92,42.85,0.58,1.24,44.73,1.52,1.52,7313.78,0.25,0.55,12.13,-0.19,-1.55,5.68,0.1,0.74,11.74
SWP,1996,4,0.32,0.31,-0.31,1.19,78.73,0.39,0.97,28.91,1.19,1.19,7096.42,-0.45,0.47,11.65,0.49,-0.15,9.44,-0.3,0.01,10.07
CAN,1996,4,0.02,-0.36,-0.7,-2.13,20.92,0.5,1.93,40.89,-0.24,-0.24,6998.27,-0.05,1.4,14.91,0.03,-1.61,6.14,0.46,0.91,11.45
USA,1996,4,0.21,0.4,-0.95,0.63,41.39,0.72,1.75,45.38,1.14,1.14,7143.35,-0.15,1.39,13.48,0.03,-2.08,6.04,0.17,1.08,11.88
USC,1996,4,0.19,0.31,-0.98,0.2,36.25,0.86,2.02,44.03,0.69,0.69,7112.81,-0.11,1.53,14.13,0.04,-2.12,6.04,0.43,1.34,11.66
ALA,1997,1,-0.21,-0.23,-0.35,0.71,38.12,0.14,-0.02,20.91,-1.85,-1.85,6990.66,-0.32,-0.76,5.8,0.46,-0.1,9.78,0.03,-0.94,7.85
CAR,1997,1,0.28,0.08,,,,-0.43,-1.04,6.85,,,,-0.37,-0.52,7.8,0.34,-0.28,9.38,0.83,1.11,13.27
CEA,1997,1,0.22,0.81,-0.73,-1.84,13.43,0.15,0.37,40.4,1.56,1.56,7094.56,-0.13,-1.32,4.48,-0.17,1.49,15.86,0.36,0.44,11.18
CWP,1997,1,0.17,0.56,-0.7,-1.07,37.39,0.94,3.42,83.95,0.41,0.41,7158.73,-0.23,-0.43,7.47,0.44,-0.06,9.62,-0.31,0.03,10.08
MID,1997,1,-0.25,0.46,-0.66,-0.74,21.86,0.2,0.45,27.53,,,,0.5,-0.47,7.78,-0.59,0.01,10.12,0.28,2.1,15.37
NEA,1997,1,-0.06,0.61,-1.03,-1.32,13.08,-0.15,-0.36,39.07,1.11,1.11,7095.0,0.06,-1.18,5.83,0.04,1.46,14.95,-0.27,0.63,11.71
NEF,1997,1,-0.1,1.02,-0.92,-0.99,15.95,0.53,1.53,30.66,0.08,0.08,6958.13,0.18,-0.96,6.84,-0.28,0.77,12.47,0.19,2.82,14.81
NPL,1997,1,-0.41,-0.73,-0.3,-1.58,25.51,0.01,-0.03,12.15,-1.73,-1.73,6926.67,0.25,0.24,11.48,-0.26,-0.85,5.84,0.08,0.31,10.92
NWP,1997,1,0.19,-0.15,-0.3,-1.15,21.02,0.49,1.14,51.62,-0.12,-0.12,7094.52,-0.35,-0.19,9.11,0.6,-0.62,7.07,0.12,-0.51,8.92
SEA,1997,1,0.22,0.28,-1.16,-1.49,19.24,0.23,-0.42,52.39,1.48,1.48,7052.0,-0.13,-0.97,5.86,-0.2,1.0,14.5,0.81,-0.09,9.84
SPL,1997,1,0.12,1.22,-0.94,1.05,43.25,0.48,1.81,27.0,1.53,1.53,7154.11,0.33,-0.04,9.92,-0.22,0.44,11.45,0.21,1.52,12.96
SWP,1997,1,0.33,0.7,-0.23,1.07,77.76,0.41,0.91,37.12,1.09,1.09,7072.0,-0.41,-0.55,7.65,0.54,0.59,12.52,-0.24,0.67,12.58
CAN,1997,1,0.0,0.16,-0.75,-2.27,20.71,0.5,1.28,30.06,-0.25,-0.25,7041.44,0.0,-0.46,8.55,-0.05,-0.27,9.41,0.52,1.33,12.41
USA,1997,1,0.23,1.09,-0.88,0.54,41.17,0.73,1.71,36.74,1.12,1.12,7075.07,-0.08,-0.81,7.54,0.04,0.67,11.79,0.26,1.05,11.51
USC,1997,1,0.2,1.08,-0.93,0.1,36.03,0.88,2.09,34.54,0.67,0.67,7067.99,-0.05,-0.67,7.99,0.0,0.2,10.73,0.55,1.97,11.96
ALA,1997,2,-0.22,-0.38,-0.26,1.11,39.85,0.0,-0.86,16.61,-1.97,-1.97,6843.67,-0.39,-0.78,4.05,0.51,0.95,15.46,0.01,-0.91,7.47
CAR,1997,2,0.28,-0.03,,,,-0.42,-0.28,10.99,,,,-0.39,-0.17,9.53,0.31,-0.11,9.91,0.84,0.1,10.27
CEA,1997,2,0.24,-0.11,-0.79,-1.49,14.07,0.17,-0.64,39.57,1.62,1.62,7108.05,-0.19,0.62,11.62,-0.23,-1.51,4.1,0.47,1.44,13.45
CWP,1997,2,0.15,0.24,-0.75,-1.36,35.32,1.07,1.6,42.06,0.4,0.4,7043.6,-0.16,-0.79,6.74,0.32,0.84,13.54,-0.29,-1.53,6.57
MID,1997,2,-0.27,-1.04,-0.67,-0.86,21.52,0.21,-0.95,37.14,,,,0.54,1.82,16.06,-0.67,-1.35,4.33,0.34,-0.19,9.48
NEA,1997,2,-0.02,0.17,-1.0,-0.85,13.86,-0.1,-0.28,39.98,1.24,1.24,7098.33,-0.01,0.38,11.72,0.0,-1.44,3.5,-0.26,0.75,11.57
NEF,1997,2,-0.1,-0.67,-0.92,-1.0,15.94,0.5,-0.77,29.44,0.19,0.19,7434.93,0.16,1.2,13.68,-0.35,-1.46,3.96,0.12,-0.76,8.44
NPL,1997,2,-0.43,-0.69,-0.32,-1.23,26.78,0.07,0.33,19.2,-1.74,-1.74,6826.67,0.31,0.81,14.07,-0.37,-0.84,5.75,0.09,0.14,10.33
NWP,1997,2,0.17,0.49,-0.35,-1.19,20.94,0.56,2.31,41.33,-0.14,-0.14,7028.41,-0.35,-0.49,7.48,0.49,0.28,11.21,0.14,0.08,10.17
SEA,1997,2,0.25,-0.02,-1.2,-1.45,19.32,0.35,1.04,74.45,1.54,1.54,7102.34,-0.18,0.74,11.98,-0.21,-0.75,7.1,0.86,-0.01,9.99
SPL,1997,2,0.13,0.06,-0.9,0.22,40.6,0.53,1.17,40.16,1.61,1.61,7240.0,0.4,1.34,14.24,-0.32,-1.24,6.02,0.26,-1.06,7.64
SWP,1997,2,0.31,0.44,-0.16,0.42,72.71,0.37,-0.4,18.76,0.96,0.96,7023.63,-0.36,-0.73,7.03,0.55,1.57,16.81,-0.2,-0.94,5.71
CAN,1997,2,-0.01,-0.24,-0.79,-1.96,21.18,0.55,0.72,29.29,-0.17,-0.17,7147.21,0.0,0.47,11.75,-0.15,-0.87,6.91,0.5,-0.04,9.96
USA,1997,2,0.25,0.12,-0.83,-0.11,39.4,0.79,0.54,37.95,1.13,1.13,7057.13,-0.08,0.29,10.58,-0.01,0.02,9.87,0.33,-1.03,8.16
USC,1997,2,0.22,-0.03,-0.89,-0.44,34.82,0.94,0.65,35.44,0.71,0.71,7076.09,-0.04,0.45,11.17,-0.09,-0.55,8.53,0.59,-0.91,9.05
ALA,1997,3,-0.17,0.39,-0.14,1.51,41.59,0.0,-0.6,29.2,-1.97,-1.97,6923.93,-0.41,-1.51,3.64,0.66,2.62,19.18,-0.01,-1.2,6.96
CAR,1997,3,0.37,1.51,,,,-0.28,1.56,41.4,,,,-0.48,-1.44,5.7,0.34,0.96,13.44,0.94,2.08,13.16
CEA,1997,3,0.24,0.03,-0.81,-1.13,14.71,0.13,-0.29,48.97,1.67,1.67,7142.89,-0.28,-0.13,9.45,-0.18,-0.43,7.86,0.33,-0.98,7.82
CWP,1997,3,0.17,0.6,-0.8,-1.64,33.25,1.11,1.66,25.7,0.56,0.56,7054.73,-0.22,-1.26,5.86,0.21,-0.63,7.27,-0.26,-0.64,7.91
MID,1997,3,-0.23,-0.64,-0.67,-0.99,21.19,0.2,-0.03,53.62,,,,0.32,0.51,11.08,-0.64,-0.72,5.88,0.26,-0.93,7.44
NEA,1997,3,0.0,-0.19,-0.96,-0.39,14.64,-0.22,-1.37,36.77,1.27,1.27,7038.33,-0.11,0.23,10.66,0.03,-0.55,7.85,-0.25,-0.66,8.74
NEF,1997,3,-0.08,-0.25,-0.9,-1.01,15.93,0.35,-0.62,43.25,0.25,0.25,6998.8,-0.01,-0.27,9.08,-0.29,-0.39,8.52,0.09,-0.51,9.15
NPL,1997,3,-0.39,-0.47,-0.34,-0.88,28.05,0.11,-0.17,34.68,-1.74,-1.74,7003.33,0.13,-0.9,6.96,-0.33,-0.03,10.05,0.11,-0.95,8.08
NWP,1997,3,0.22,1.06,-0.4,-1.23,20.85,0.66,1.84,44.25,0.0,0.0,7115.44,-0.39,-1.92,4.26,0.48,0.94,13.16,0.19,0.7,11.62
SEA,1997,3,0.23,-0.04,-1.23,-1.41,19.4,0.25,-0.02,66.17,1.57,1.57,7154.17,-0.19,1.03,12.89,-0.18,-0.13,8.18,0.78,-0.14,9.65
SPL,1997,3,0.17,0.13,-0.9,-0.62,37.95,0.5,0.77,45.26,1.63,1.63,7128.67,0.18,-0.54,8.49,-0.28,-0.71,6.94,0.23,-0.74,8.16
SWP,1997,3,0.34,0.73,-0.11,-0.22,67.66,0.36,1.33,23.23,1.03,1.03,7146.21,-0.44,-0.43,8.4,0.55,-0.26,8.59,-0.21,0.1,10.42
CAN,1997,3,0.05,0.3,-0.82,-1.64,21.66,0.56,0.34,39.92,-0.06,-0.06,7067.17,-0.19,-1.2,7.22,-0.1,0.08,10.32,0.56,0.54,10.63
USA,1997,3,0.29,0.49,-0.8,-0.77,37.64,0.72,0.77,42.29,1.21,1.21,7104.88,-0.28,-0.71,8.57,0.04,-0.1,9.17,0.26,-0.9,8.52
USC,1997,3,0.27,0.54,-0.87,-0.99,33.62,0.87,0.93,41.66,0.81,0.81,7096.94,-0.26,-1.1,8.05,-0.03,-0.03,9.61,0.57,-0.42,9.57
ALA,1997,4,-0.11,0.05,0.03,1.92,43.32,-0.05,-0.65,30.48,-1.95,-1.95,7073.93,-0.63,-0.78,6.32,0.73,0.87,14.32,-0.07,-1.78,6.67
CAR,1997,4,0.44,1.19,,,,-0.21,1.6,28.59,,,,-0.59,-0.84,6.64,0.42,1.04,13.87,0.94,1.3,13.13
CEA,1997,4,0.25,-0.12,-0.79,-0.78,15.35,0.13,-0.59,43.94,1.76,1.76,7150.14,-0.31,0.32,10.88,-0.2,-1.03,5.66,0.27,-0.63,7.84
CWP,1997,4,0.23,1.14,-0.86,-1.93,31.19,1.14,1.45,46.02,0.76,0.76,7194.0,-0.25,-0.94,4.66,0.23,0.34,11.12,-0.17,2.05,16.21
MID,1997,4,-0.26,-0.53,-0.68,-1.12,20.85,0.11,-0.98,35.47,,,,0.31,0.29,10.99,-0.59,-0.28,9.05,0.2,0.0,10.03
NEA,1997,4,0.03,0.12,-0.91,0.08,15.42,-0.22,-1.71,35.64,1.4,1.4,7115.0,-0.16,-0.35,8.39,0.03,-0.01,10.17,-0.25,-0.6,8.44
NEF,1997,4,-0.07,-0.13,-0.87,-1.01,15.92,0.33,-0.18,38.66,0.26,0.26,6883.4,-0.06,-0.1,9.58,-0.26,-0.26,9.37,0.06,0.22,10.44
NPL,1997,4,-0.36,0.25,-0.37,-0.52,29.32,0.16,0.85,22.73,-1.69,-1.69,7193.33,0.08,-0.65,6.73,-0.28,0.81,13.39,0.11,0.42,11.11
NWP,1997,4,0.24,0.43,-0.44,-1.26,20.76,0.59,0.34,52.6,0.14,0.14,7166.0,-0.49,-0.69,6.47,0.53,0.68,12.87,0.09,-0.74,8.25
SEA,1997,4,0.2,-0.24,-1.26,-1.37,19.48,0.25,0.69,65.19,1.54,1.54,7168.8,-0.16,0.36,11.18,-0.16,-0.54,7.34,0.65,-1.01,7.53
SPL,1997,4,0.18,0.26,-0.94,-1.45,35.3,0.54,0.21,37.2,1.64,1.64,7268.83,0.18,-0.16,9.57,-0.22,0.43,11.06,0.21,0.47,11.09
SWP,1997,4,0.39,0.89,-0.07,-0.86,62.61,0.4,0.52,26.26,1.16,1.16,7248.75,-0.46,-0.68,7.17,0.59,0.76,11.89,-0.17,0.38,11.61
CAN,1997,4,0.09,0.47,-0.85,-1.33,22.13,0.55,0.33,37.09,0.04,0.04,7076.21,-0.28,-0.69,7.67,-0.03,0.63,11.84,0.53,0.6,10.96
USA,1997,4,0.33,0.5,-0.78,-1.43,35.87,0.72,0.24,38.99,1.33,1.33,7165.49,-0.35,-0.45,8.76,0.13,0.41,10.61,0.22,-0.03,9.96
USC,1997,4,0.32,0.62,-0.85,-1.53,32.42,0.87,0.28,38.41,0.95,0.95,7146.69,-0.35,-0.63,8.27,0.06,0.59,11.13,0.52,0.36,10.45
ALA,1998,1,-0.11,0.27,0.21,2.17,44.41,-0.23,-1.55,15.36,-1.81,-1.81,7209.93,-0.69,-1.16,3.41,0.66,-0.73,5.94,-0.16,-0.48,8.92
