Region,Year,Season,ACI_Combined_Seasonal_Smoothed,ACI_Combined_Seasonal_Unsmoothed,CDD_Seasonal_Smoothed,CDD_Seasonal_Unsmoothed,CDD_Seasonal_Unsmoothed_Unstandardized,Rx5Day_Seasonal_Smoothed,Rx5Day_Seasonal_Unsmoothed,Rx5Day_Seasonal_Unsmoothed_Unstandardized,Sea_Level_Seasonal_Smoothed,Sea_Level_Seasonal_Unsmoothed,Sea_Level_Seasonal_Unsmoothed_Unstandardized,T10_Seasonal_Smoothed,T10_Seasonal_Unsmoothed,T10_Seasonal_Unsmoothed_Unstandardized,T90_Seasonal_Smoothed,T90_Seasonal_Unsmoothed,T90_Seasonal_Unsmoothed_Unstandardized,WP90_Seasonal_Smoothed,WP90_Seasonal_Unsmoothed,WP90_Seasonal_Unsmoothed_Unstandardized
SPL,1962,3,-0.25,-0.34,-0.01,0.15,40.39,-0.06,0.9,45.83,-1.29,-1.29,6918.56,0.03,-0.38,8.86,-0.33,-0.75,6.8,0.2,-1.12,7.21
SWP,1962,3,0.02,-0.55,0.49,0.74,75.21,-0.54,-1.4,15.01,-0.03,-0.03,7024.56,-0.28,0.95,11.8,0.1,-0.83,6.86,-0.19,-0.02,9.94
CAN,1962,3,0.16,-0.39,0.77,-0.16,23.91,-0.14,0.69,40.84,-0.21,-0.21,6940.33,-0.17,0.23,10.35,-0.11,-1.47,6.16,0.49,-0.44,9.51
USA,1962,3,-0.05,-0.51,0.43,0.38,40.72,-0.16,-0.39,39.45,-0.43,-0.43,7020.0,-0.15,-0.03,9.55,-0.27,-0.97,6.87,-0.02,-1.18,8.07
USC,1962,3,0.03,-0.56,0.52,0.32,36.5,-0.18,-0.14,39.8,-0.39,-0.39,7003.23,-0.18,0.11,9.84,-0.22,-1.36,6.61,0.23,-1.15,8.78
ALA,1962,4,0.19,-0.24,0.0,-1.51,28.57,0.18,-0.18,32.82,1.28,1.28,7241.41,0.02,-0.19,9.02,-0.44,-0.45,7.47,0.15,-0.86,8.4
CAR,1962,4,-0.05,0.28,,,,0.24,0.0,18.18,,,,-0.01,-1.18,5.2,-0.32,0.71,12.76,-0.14,-0.78,8.13
CEA,1962,4,-0.25,-0.35,-0.36,-0.35,16.13,-0.03,0.64,54.74,-0.69,-0.69,7050.86,-0.06,0.8,12.48,-0.15,-1.06,5.53,-0.31,-0.35,8.81
CWP,1962,4,0.12,0.56,0.38,-0.18,43.87,-0.44,0.93,41.41,0.09,0.09,7020.78,-0.3,-0.92,4.78,0.22,0.54,11.87,0.16,0.97,12.95
MID,1962,4,0.03,-0.19,0.57,0.13,24.09,-0.13,-0.88,36.33,,,,-0.07,-0.32,8.7,-0.19,0.16,10.66,-0.19,-0.66,7.85
NEA,1962,4,-0.06,0.23,0.48,2.01,18.64,0.05,1.05,54.19,-1.03,-1.03,6958.33,-0.36,-0.68,6.82,0.18,-0.81,6.93,-0.38,-0.45,8.83
NEF,1962,4,0.11,-0.4,1.27,0.83,18.96,-0.39,-1.44,32.83,-0.41,-0.41,6727.13,-0.23,-0.33,8.68,-0.12,-0.27,9.32,0.1,-0.74,8.56
NPL,1962,4,0.25,0.02,0.01,-0.95,27.79,-0.36,-0.74,16.27,1.16,1.16,7363.33,-0.08,-0.97,4.98,-0.1,1.26,15.11,0.7,-0.9,7.67
NWP,1962,4,0.39,0.2,0.74,-0.85,21.72,0.49,0.2,51.98,-0.15,-0.15,7057.16,-0.14,-0.85,5.66,0.02,0.65,12.76,1.09,-0.1,9.76
SEA,1962,4,-0.22,-0.32,-0.39,-0.15,21.96,0.08,-0.15,57.54,-0.94,-0.94,7071.15,-0.01,0.2,10.59,-0.15,0.0,9.56,0.09,-0.36,9.13
SPL,1962,4,-0.24,-0.11,0.0,0.27,40.76,-0.13,-0.54,31.67,-1.33,-1.33,7030.56,-0.04,-1.17,5.95,-0.2,0.97,12.52,0.18,-0.78,8.2
SWP,1962,4,0.05,0.35,0.51,0.81,75.72,-0.54,0.34,25.23,-0.08,-0.08,7068.5,-0.36,-1.06,5.7,0.22,0.97,12.47,-0.19,-0.74,6.95
CAN,1962,4,0.15,-0.28,0.77,-0.8,22.93,-0.2,-1.05,33.82,-0.21,-0.21,6966.98,-0.2,-1.03,6.5,-0.12,0.62,11.82,0.46,-0.93,8.55
USA,1962,4,-0.05,0.05,0.41,0.3,40.53,-0.22,-0.25,36.93,-0.41,-0.41,7082.67,-0.19,-0.89,7.66,-0.22,0.43,10.65,-0.03,-0.86,8.53
