Region,Year,Month,ACI_Combined_Monthly_Smoothed,ACI_Combined_Monthly_Unsmoothed,CDD_Monthly_Smoothed,CDD_Monthly_Unsmoothed,CDD_Monthly_Unsmoothed_Unstandardized,Rx5Day_Monthly_Smoothed,Rx5Day_Monthly_Unsmoothed,Rx5Day_Monthly_Unsmoothed_Unstandardized,Sea_Level_Monthly_Smoothed,Sea_Level_Monthly_Unsmoothed,Sea_Level_Monthly_Unsmoothed_Unstandardized,T10_Monthly_Smoothed,T10_Monthly_Unsmoothed,T10_Monthly_Unsmoothed_Unstandardized,T90_Monthly_Smoothed,T90_Monthly_Unsmoothed,T90_Monthly_Unsmoothed_Unstandardized,WP90_Monthly_Smoothed,WP90_Monthly_Unsmoothed,WP90_Monthly_Unsmoothed_Unstandardized
MID,1999.0,4.0,-0.04,0.67,-0.45,0.84,25.94,0.13,1.42,55.09,,,,-0.11,-0.92,5.06,-0.06,0.16,11.05,0.05,0.01,10.06
NEA,1999.0,4.0,0.21,0.36,-0.92,-0.97,13.65,-0.12,-1.58,23.74,1.52,2.66,7125.0,-0.55,-1.4,1.81,0.24,-0.17,8.96,-0.03,0.81,13.09
NEF,1999.0,4.0,0.07,0.12,-0.63,1.26,19.66,0.3,-0.56,28.38,0.17,-0.75,7177.0,-0.44,-1.81,2.12,0.16,0.01,10.25,0.0,-1.06,6.06
NPL,1999.0,4.0,-0.27,0.32,-0.5,0.39,32.59,0.19,0.65,18.68,-1.56,-1.63,6810.0,-0.27,-0.86,4.14,0.08,0.38,13.16,-0.07,1.28,14.85
NWP,1999.0,4.0,0.15,-0.32,-0.49,-0.49,22.57,0.25,-0.83,27.19,0.28,-0.97,6898.78,-0.52,-0.21,8.32,0.4,0.25,11.54,-0.08,-0.11,9.62
SEA,1999.0,4.0,0.33,0.97,-0.75,2.12,26.55,0.23,-0.87,47.22,1.57,1.91,7108.82,-0.24,-0.43,7.6,0.18,1.96,18.91,0.51,0.26,11.16
SPL,1999.0,4.0,0.35,0.61,-0.68,0.68,42.07,0.42,1.19,42.67,1.71,2.1,7223.0,-0.19,0.2,10.95,0.28,-0.46,7.9,0.17,0.33,11.38
SWP,1999.0,4.0,0.37,0.06,-0.17,-0.91,62.21,0.41,2.53,36.21,1.06,0.12,6970.88,-0.37,1.49,19.05,0.61,-0.48,6.48,-0.08,0.59,13.7
CAN,1999.0,4.0,0.14,0.05,-0.91,0.47,24.86,0.35,-0.69,24.34,0.14,-1.1,6994.31,-0.61,-1.2,4.36,0.34,0.36,12.1,0.32,0.05,10.11
USA,1999.0,4.0,0.43,0.32,-0.55,0.15,40.1,0.55,0.98,39.22,1.5,0.81,7034.32,-0.49,0.12,10.27,0.45,0.0,9.79,0.15,0.1,10.33
USC,1999.0,4.0,0.41,0.33,-0.66,0.22,36.27,0.61,0.73,34.85,1.12,0.16,7025.9,-0.6,-0.57,7.8,0.49,0.21,10.75,0.29,0.12,10.22
ALA,1999.0,5.0,-0.11,-0.5,0.81,1.31,40.71,-0.14,0.3,21.31,-1.83,-3.24,6820.33,-0.41,0.18,10.8,0.31,-0.36,7.27,-0.22,-0.8,7.22
CAR,1999.0,5.0,0.46,-0.01,,,,-0.13,0.2,17.15,,,,-0.64,0.13,10.74,0.63,-0.96,5.95,0.7,0.84,12.66
CEA,1999.0,5.0,0.36,0.56,-0.32,0.3,17.31,0.06,-0.61,39.6,1.91,2.2,7123.6,-0.48,-1.18,3.41,0.1,0.96,14.94,-0.06,-0.69,7.02
CWP,1999.0,5.0,0.24,-0.43,-0.94,-0.35,42.58,0.89,0.75,32.07,0.78,-0.51,6911.0,-0.35,2.08,16.39,0.3,-0.92,4.76,0.06,0.51,11.98
MID,1999.0,5.0,-0.02,0.6,-0.41,1.0,26.36,0.15,0.19,53.09,,,,-0.12,-0.97,4.29,-0.05,-0.34,7.35,0.1,1.2,15.46
NEA,1999.0,5.0,0.22,0.74,-0.93,-0.87,13.81,-0.16,-0.63,35.57,1.51,1.11,6975.0,-0.58,-1.32,2.83,0.33,4.38,34.54,-0.03,-0.89,7.09
NEF,1999.0,5.0,0.09,0.65,-0.6,1.48,20.03,0.31,-0.13,36.98,0.14,-1.63,6845.0,-0.46,-1.18,3.79,0.22,2.36,24.06,0.02,0.66,11.89
NPL,1999.0,5.0,-0.27,0.36,-0.51,0.33,32.39,0.21,1.76,38.86,-1.57,-1.56,6870.0,-0.25,-0.31,8.6,0.07,-0.52,7.01,-0.06,1.83,14.91
NWP,1999.0,5.0,0.14,0.04,-0.5,-0.75,21.96,0.3,3.34,44.92,0.26,-0.58,6945.44,-0.48,1.34,15.29,0.36,-1.3,3.81,-0.06,0.89,12.74
SEA,1999.0,5.0,0.35,0.53,-0.7,2.04,26.39,0.23,-0.74,54.56,1.58,2.16,7157.15,-0.26,-0.77,5.68,0.18,-0.98,3.63,0.52,-0.06,9.75
SPL,1999.0,5.0,0.36,0.54,-0.64,0.84,42.58,0.42,0.21,49.84,1.74,2.43,7289.33,-0.19,-0.59,7.47,0.27,-1.15,5.21,0.2,0.34,11.2
SWP,1999.0,5.0,0.37,0.18,-0.17,-0.78,63.23,0.43,1.74,26.42,1.07,0.83,7003.13,-0.35,-0.08,9.37,0.59,-1.13,4.23,-0.06,0.35,11.72
CAN,1999.0,5.0,0.14,0.53,-0.91,0.39,24.73,0.37,1.94,39.83,0.11,-1.73,6911.19,-0.6,-0.4,8.52,0.35,0.8,13.38,0.33,1.38,12.57
USA,1999.0,5.0,0.44,0.3,-0.52,0.29,40.49,0.57,0.28,41.25,1.51,1.63,7059.89,-0.49,-0.57,8.05,0.43,-1.33,5.94,0.18,0.34,10.72
USC,1999.0,5.0,0.42,0.43,-0.63,0.33,36.53,0.62,0.83,40.87,1.11,-0.04,7028.58,-0.59,-0.56,8.25,0.49,-0.34,9.05,0.32,1.2,11.64
ALA,1999.0,6.0,-0.11,0.12,0.84,1.17,40.12,-0.15,1.1,30.8,-1.85,-3.06,6839.11,-0.42,-0.8,5.79,0.33,1.67,18.84,-0.23,-0.95,6.1
CAR,1999.0,6.0,0.48,1.04,,,,-0.09,1.35,41.01,,,,-0.64,-0.6,7.72,0.65,1.6,18.71,0.72,0.6,11.62
CEA,1999.0,6.0,0.37,0.59,-0.29,0.35,17.41,0.05,-0.9,34.48,1.92,1.2,7099.78,-0.47,-0.93,5.78,0.12,2.69,21.71,-0.08,-0.7,7.0
CWP,1999.0,6.0,0.24,-0.28,-0.95,-0.25,43.29,0.89,-0.04,24.19,0.77,0.09,6945.4,-0.34,0.64,12.35,0.3,-0.49,6.5,0.06,-0.34,8.24
MID,1999.0,6.0,-0.02,0.14,-0.38,1.16,26.77,0.14,0.17,56.09,,,,-0.1,0.5,12.28,-0.06,0.45,12.36,0.09,-0.58,7.47
NEA,1999.0,6.0,0.22,0.6,-0.93,-0.77,13.98,-0.18,-1.38,28.2,1.51,0.85,6995.0,-0.59,-1.84,2.99,0.37,3.52,27.15,-0.05,-0.45,8.17
NEF,1999.0,6.0,0.1,0.76,-0.55,1.7,20.39,0.31,1.46,54.6,0.11,-1.46,6719.0,-0.46,-0.91,6.17,0.25,2.44,21.76,0.01,-0.48,8.65
NPL,1999.0,6.0,-0.27,-0.71,-0.51,0.28,32.19,0.21,-0.04,36.64,-1.57,-2.37,6910.0,-0.24,0.58,13.06,0.07,-0.51,6.56,-0.06,-1.02,6.84
NWP,1999.0,6.0,0.14,-0.14,-0.51,-1.01,21.35,0.31,0.55,38.01,0.28,-0.05,7052.11,-0.46,0.55,11.62,0.36,0.33,12.2,-0.08,-0.13,9.56
SEA,1999.0,6.0,0.36,0.92,-0.64,1.96,26.23,0.24,1.11,80.27,1.6,1.48,7129.77,-0.24,0.11,10.26,0.17,0.08,9.39,0.52,0.99,14.84
SPL,1999.0,6.0,0.37,0.49,-0.59,1.0,43.09,0.46,0.73,56.44,1.76,1.76,7206.33,-0.16,0.51,12.1,0.25,-0.43,7.21,0.2,0.38,11.5
SWP,1999.0,6.0,0.37,0.15,-0.18,-0.65,64.24,0.46,1.31,20.34,1.08,0.76,7038.31,-0.32,0.21,10.54,0.55,-0.7,5.23,-0.05,0.38,12.38
CAN,1999.0,6.0,0.14,0.14,-0.9,0.31,24.61,0.38,0.69,41.65,0.09,-1.42,6935.56,-0.58,-0.21,9.28,0.38,1.39,15.23,0.33,-0.31,9.39
USA,1999.0,6.0,0.44,0.38,-0.49,0.44,40.88,0.59,1.02,46.12,1.52,0.71,7051.45,-0.45,0.24,10.28,0.41,0.22,10.33,0.18,0.14,10.38
USC,1999.0,6.0,0.42,0.33,-0.6,0.45,36.79,0.65,1.11,44.94,1.11,-0.25,7027.05,-0.56,0.08,9.89,0.48,0.81,12.23,0.31,-0.08,9.89
ALA,1999.0,7.0,-0.11,-0.23,0.86,1.04,39.53,-0.13,-0.11,31.95,-1.88,-3.4,6794.89,-0.4,0.11,9.65,0.32,0.6,12.33,-0.21,0.62,11.87
CAR,1999.0,7.0,0.45,0.09,,,,-0.09,-0.19,26.2,,,,-0.59,1.46,14.99,0.61,-0.41,8.3,0.71,2.43,16.04
CEA,1999.0,7.0,0.38,1.19,-0.26,0.4,17.5,0.04,-0.19,49.11,1.96,2.7,7127.93,-0.46,-1.61,4.42,0.15,2.85,24.15,-0.06,-0.25,9.19
CWP,1999.0,7.0,0.23,-0.25,-0.95,-0.15,44.0,0.89,-0.89,7.26,0.78,0.05,6932.4,-0.31,0.9,13.56,0.26,-0.72,6.04,0.08,1.1,14.01
MID,1999.0,7.0,0.01,1.45,-0.34,1.32,27.19,0.16,1.33,67.01,,,,-0.13,-0.98,5.26,-0.01,2.13,23.37,0.13,1.48,15.84
NEA,1999.0,7.0,0.23,0.51,-0.93,-0.68,14.14,-0.17,-0.9,38.77,1.54,2.58,7065.0,-0.59,-1.31,4.11,0.38,1.01,15.41,-0.05,-0.28,8.85
NEF,1999.0,7.0,0.11,1.0,-0.51,1.92,20.76,0.32,2.3,57.18,0.08,-0.96,6687.0,-0.47,-1.57,4.12,0.28,1.41,17.35,0.02,-0.22,9.38
NPL,1999.0,7.0,-0.28,-0.38,-0.51,0.22,31.99,0.22,0.51,42.54,-1.56,-1.4,7020.0,-0.2,1.75,17.5,0.06,-0.72,6.28,-0.07,0.82,12.74
NWP,1999.0,7.0,0.13,-0.12,-0.53,-1.27,20.74,0.32,-0.02,35.44,0.3,0.55,7046.56,-0.4,1.69,14.74,0.32,-0.57,7.28,-0.05,2.28,17.52
SEA,1999.0,7.0,0.37,1.04,-0.57,1.88,26.08,0.21,-0.04,67.49,1.62,1.96,7124.5,-0.26,-0.88,5.86,0.21,1.77,21.32,0.51,-0.24,9.09
SPL,1999.0,7.0,0.39,0.7,-0.54,1.15,43.59,0.45,0.11,38.5,1.79,2.25,7164.67,-0.16,0.23,10.65,0.26,0.18,10.2,0.21,0.73,12.92
SWP,1999.0,7.0,0.37,0.36,-0.18,-0.52,65.25,0.53,1.78,26.99,1.08,0.52,7075.25,-0.3,0.71,12.08,0.54,-0.09,8.96,-0.03,1.16,14.93
CAN,1999.0,7.0,0.14,0.42,-0.89,0.22,24.48,0.39,0.82,44.45,0.07,-0.55,6933.69,-0.55,0.5,11.08,0.37,0.27,11.03,0.34,2.28,13.55
USA,1999.0,7.0,0.46,0.91,-0.46,0.58,41.27,0.6,0.75,42.33,1.54,1.15,7055.75,-0.45,-0.13,9.25,0.43,1.49,14.07,0.2,1.37,12.67
USC,1999.0,7.0,0.43,0.87,-0.58,0.57,37.05,0.66,1.03,42.85,1.11,0.42,7030.05,-0.54,0.16,9.94,0.5,1.25,12.93,0.34,2.14,13.11
ALA,1999.0,8.0,-0.11,-0.03,0.89,0.9,38.94,-0.12,0.07,42.29,-1.87,-2.09,6874.56,-0.4,-0.77,3.66,0.29,0.3,11.66,-0.25,-0.15,9.39
CAR,1999.0,8.0,0.46,1.26,,,,-0.05,1.76,50.15,,,,-0.59,-1.23,3.99,0.58,1.41,17.14,0.7,0.64,11.76
CEA,1999.0,8.0,0.39,0.51,-0.23,0.45,17.59,0.0,-0.66,46.0,1.99,2.65,7160.0,-0.48,-0.58,6.99,0.17,0.06,9.89,-0.07,0.0,10.03
CWP,1999.0,8.0,0.24,0.18,-0.95,-0.06,44.71,0.91,0.13,16.77,0.79,0.3,6956.2,-0.29,-0.28,7.99,0.27,0.55,13.06,0.11,-0.1,9.61
MID,1999.0,8.0,0.03,0.1,-0.3,1.48,27.61,0.15,-0.78,45.06,,,,-0.16,-0.84,5.83,-0.01,-0.76,4.13,0.13,-0.29,8.81
NEA,1999.0,8.0,0.24,0.75,-0.93,-0.58,14.3,-0.14,0.72,60.81,1.56,2.61,7075.0,-0.6,-1.1,4.59,0.4,0.71,13.92,-0.07,-0.08,9.69
NEF,1999.0,8.0,0.11,-0.13,-0.45,2.14,21.12,0.29,-1.41,39.23,0.06,-1.44,6593.0,-0.49,-0.8,5.75,0.3,-0.17,9.18,0.0,-0.7,7.79
NPL,1999.0,8.0,-0.27,0.0,-0.52,0.17,31.79,0.23,0.31,34.7,-1.57,-1.35,7050.0,-0.21,-0.77,5.29,0.07,0.23,11.87,-0.06,-0.11,9.59
NWP,1999.0,8.0,0.13,0.17,-0.54,-1.53,20.13,0.36,1.53,49.05,0.33,0.58,7016.56,-0.39,-0.55,6.81,0.31,0.83,14.86,-0.05,-0.94,6.56
SEA,1999.0,8.0,0.39,1.1,-0.51,1.81,25.92,0.18,-1.51,46.94,1.63,2.71,7186.5,-0.29,-1.12,4.56,0.26,2.06,23.05,0.5,0.4,11.47
SPL,1999.0,8.0,0.41,0.84,-0.49,1.31,44.1,0.47,0.13,38.0,1.78,1.56,7130.33,-0.18,-1.27,4.88,0.28,1.09,14.05,0.21,-0.35,8.29
SWP,1999.0,8.0,0.37,0.07,-0.18,-0.39,66.27,0.56,1.38,29.78,1.07,0.01,7084.94,-0.26,0.54,11.62,0.5,0.01,9.33,-0.02,-0.03,9.87
CAN,1999.0,8.0,0.15,0.2,-0.89,0.14,24.35,0.42,0.77,41.37,0.07,-1.08,6889.94,-0.56,-1.18,5.75,0.38,0.46,11.97,0.33,-0.3,9.43
USA,1999.0,8.0,0.47,0.7,-0.43,0.73,41.66,0.6,-0.72,37.74,1.57,1.96,7094.45,-0.46,-1.39,6.46,0.44,0.99,12.36,0.2,-0.17,9.57
USC,1999.0,8.0,0.44,0.55,-0.54,0.69,37.31,0.67,-0.39,38.66,1.13,0.93,7051.4,-0.56,-1.47,6.19,0.51,0.91,12.21,0.33,-0.29,9.5
ALA,1999.0,9.0,-0.11,-0.05,0.91,0.76,38.35,-0.11,0.61,45.34,-1.89,-1.95,6918.56,-0.41,-0.58,5.19,0.31,-0.11,8.88,-0.27,-0.17,9.56
CAR,1999.0,9.0,0.46,0.88,,,,-0.05,-0.16,21.7,,,,-0.6,-0.89,4.85,0.58,0.73,13.6,0.72,2.08,17.34
CEA,1999.0,9.0,0.42,2.03,-0.2,0.51,17.68,0.06,3.83,110.95,2.02,3.27,7165.47,-0.5,-1.4,3.5,0.2,1.27,19.11,-0.06,1.92,18.29
CWP,1999.0,9.0,0.23,-0.53,-0.96,0.04,45.42,0.9,-1.4,8.86,0.77,-1.79,6897.6,-0.27,0.27,11.48,0.25,-0.23,8.42,0.14,0.45,11.96
MID,1999.0,9.0,0.04,0.29,-0.25,1.64,28.02,0.14,-0.79,41.7,,,,-0.17,-0.26,8.42,-0.02,-0.04,9.71,0.14,0.37,11.61
NEA,1999.0,9.0,0.27,2.02,-0.93,-0.48,14.47,-0.03,5.87,115.9,1.56,1.35,7045.0,-0.62,-1.79,1.03,0.48,4.68,37.2,-0.09,-1.06,5.62
NEF,1999.0,9.0,0.13,0.95,-0.39,2.36,21.49,0.33,1.87,60.91,0.04,-0.69,6683.0,-0.51,-1.69,3.51,0.32,1.97,21.09,-0.01,-1.49,5.65
NPL,1999.0,9.0,-0.27,-0.09,-0.52,0.11,31.6,0.25,-0.32,25.63,-1.57,-1.16,7110.0,-0.2,-0.28,7.93,0.04,-0.43,7.58,-0.04,0.97,13.66
NWP,1999.0,9.0,0.12,-0.39,-0.56,-1.79,19.52,0.34,-0.01,47.47,0.31,-1.83,6912.11,-0.38,-0.27,8.23,0.29,-0.53,7.29,-0.03,1.57,14.85
SEA,1999.0,9.0,0.42,1.33,-0.44,1.73,25.76,0.19,0.28,68.75,1.69,4.99,7324.77,-0.29,0.3,11.37,0.28,0.2,10.34,0.52,1.05,15.65
SPL,1999.0,9.0,0.41,0.14,-0.44,1.47,44.61,0.48,-0.77,36.26,1.79,1.44,7274.67,-0.17,-0.01,10.14,0.26,-0.98,6.09,0.21,-0.35,8.49
SWP,1999.0,9.0,0.36,-0.27,-0.18,-0.26,67.28,0.56,-0.14,20.5,1.06,-0.09,7101.52,-0.25,-0.11,9.16,0.48,-0.51,7.15,-0.02,-0.75,6.59
CAN,1999.0,9.0,0.15,0.53,-0.88,0.05,24.22,0.45,1.4,46.38,0.05,-1.46,6861.19,-0.56,-0.95,5.86,0.38,1.17,14.45,0.34,1.07,12.5
USA,1999.0,9.0,0.49,0.58,-0.39,0.87,42.05,0.61,-0.04,42.06,1.59,2.42,7137.56,-0.45,-0.29,8.85,0.44,-0.37,8.71,0.22,0.3,10.79
USC,1999.0,9.0,0.45,0.7,-0.51,0.8,37.57,0.7,0.42,43.23,1.14,0.9,7079.38,-0.55,-0.66,7.6,0.51,0.58,11.12,0.34,0.86,11.64
ALA,1999.0,10.0,-0.1,-0.41,0.93,0.63,37.76,-0.1,0.61,39.31,-1.91,-2.33,6972.33,-0.41,-0.66,4.19,0.3,-1.04,1.88,-0.26,-1.0,6.94
CAR,1999.0,10.0,0.44,-0.42,,,,-0.08,-0.56,12.14,,,,-0.59,-0.58,6.73,0.57,-1.02,5.41,0.7,-0.7,7.82
CEA,1999.0,10.0,0.43,0.11,-0.16,0.56,17.77,0.08,-0.12,46.93,2.02,0.74,7095.25,-0.5,-0.41,7.41,0.19,-0.88,4.39,-0.04,-0.03,9.88
CWP,1999.0,10.0,0.22,-0.13,-0.96,0.14,46.13,0.88,0.4,36.36,0.74,-1.65,6904.2,-0.26,-0.5,6.49,0.27,0.13,10.52,0.12,-0.27,8.59
MID,1999.0,10.0,0.04,0.28,-0.2,1.8,28.44,0.15,-0.21,39.17,,,,-0.15,-0.16,8.9,-0.02,-0.37,7.42,0.13,0.0,10.03
NEA,1999.0,10.0,0.27,0.54,-0.93,-0.38,14.63,-0.03,0.36,50.61,1.57,2.19,7085.0,-0.61,-0.18,8.97,0.43,-1.08,4.31,-0.07,1.95,17.01
NEF,1999.0,10.0,0.15,0.36,-0.33,2.58,21.85,0.36,1.29,46.39,0.05,-0.74,6741.0,-0.5,-0.27,8.39,0.29,-0.95,4.18,0.0,-0.3,9.26
NPL,1999.0,10.0,-0.29,-0.52,-0.52,0.06,31.4,0.21,-0.8,12.34,-1.57,-1.67,7070.0,-0.19,-0.11,9.35,0.03,-0.54,7.24,-0.07,-0.24,9.08
NWP,1999.0,10.0,0.12,-0.56,-0.59,-2.05,18.91,0.33,0.04,53.08,0.29,-1.91,6919.89,-0.37,-0.52,6.82,0.3,-0.51,7.29,-0.01,0.55,12.02
SEA,1999.0,10.0,0.43,0.89,-0.38,1.65,25.6,0.2,1.18,75.3,1.69,2.01,7247.69,-0.28,-0.47,7.23,0.29,-0.38,7.12,0.51,0.43,11.44
SPL,1999.0,10.0,0.41,0.3,-0.39,1.63,45.12,0.43,-1.05,21.35,1.79,1.91,7316.67,-0.16,-0.1,9.49,0.26,-0.29,8.64,0.19,-0.52,8.21
SWP,1999.0,10.0,0.36,-0.14,-0.17,-0.13,68.29,0.53,-1.38,8.86,1.04,-0.71,7049.31,-0.25,-0.68,5.63,0.52,0.86,13.72,-0.02,-0.17,9.11
CAN,1999.0,10.0,0.14,-0.42,-0.86,-0.03,24.1,0.45,0.34,36.4,0.04,-1.96,6883.69,-0.55,-0.44,8.08,0.36,-1.14,5.7,0.33,-0.15,9.7
USA,1999.0,10.0,0.48,0.1,-0.36,1.01,42.44,0.59,-0.43,33.59,1.57,0.22,7098.87,-0.45,-0.71,7.23,0.45,-0.52,8.16,0.2,-0.38,9.08
USC,1999.0,10.0,0.45,-0.11,-0.47,0.92,37.83,0.67,-0.33,34.48,1.11,-0.63,7053.57,-0.54,-0.61,7.61,0.5,-0.86,7.05,0.33,-0.36,9.39
ALA,1999.0,11.0,-0.11,-0.39,0.95,0.49,37.17,-0.12,-0.7,20.64,-1.89,-0.5,7112.67,-0.43,-0.2,8.35,0.3,-0.9,2.2,-0.3,-0.94,7.16
CAR,1999.0,11.0,0.44,0.2,,,,-0.11,-0.51,11.28,,,,-0.59,-1.1,2.35,0.58,0.04,10.78,0.68,0.19,10.64
CEA,1999.0,11.0,0.44,0.75,-0.13,0.61,17.87,0.08,-0.46,42.33,2.03,0.11,7041.93,-0.5,-1.07,3.73,0.21,2.1,23.29,-0.04,1.07,15.2
CWP,1999.0,11.0,0.24,1.4,-0.97,0.24,46.84,0.88,1.15,61.48,0.75,0.5,7126.2,-0.3,-0.82,1.81,0.36,3.64,26.27,0.15,2.06,19.84
MID,1999.0,11.0,0.05,0.84,-0.16,1.96,28.86,0.12,-1.22,22.84,,,,-0.15,-1.3,1.92,0.02,2.04,21.63,0.1,0.1,10.42
NEA,1999.0,11.0,0.25,-0.16,-0.92,-0.29,14.8,-0.06,-1.24,36.56,1.55,0.21,7055.0,-0.6,-0.15,8.91,0.43,0.92,16.91,-0.1,-0.7,6.83
NEF,1999.0,11.0,0.15,0.86,-0.25,2.8,22.22,0.33,-0.28,32.49,0.05,-0.76,6807.0,-0.49,-1.02,3.85,0.3,1.95,20.52,-0.04,0.41,11.11
NPL,1999.0,11.0,-0.28,0.14,-0.52,0.0,31.2,0.2,-0.44,11.07,-1.59,-1.49,7050.0,-0.19,-0.92,0.72,0.09,2.17,22.77,-0.08,-0.28,8.97
NWP,1999.0,11.0,0.12,0.09,-0.61,-2.31,18.3,0.35,0.69,59.47,0.31,0.49,7138.78,-0.38,-0.76,2.72,0.33,0.44,12.95,-0.01,0.48,11.52
SEA,1999.0,11.0,0.43,0.46,-0.31,1.57,25.44,0.18,-1.01,40.34,1.69,0.95,7132.23,-0.28,-0.99,4.03,0.29,0.62,13.76,0.47,-0.37,8.81
SPL,1999.0,11.0,0.41,0.95,-0.33,1.79,45.63,0.4,-1.26,17.53,1.78,1.03,7196.33,-0.17,-1.36,2.31,0.33,3.45,23.02,0.14,-0.64,7.84
SWP,1999.0,11.0,0.37,0.24,-0.17,0.0,69.3,0.49,-1.68,10.19,1.03,-0.71,7029.69,-0.31,-1.31,3.12,0.59,3.26,24.55,-0.05,-0.74,5.78
CAN,1999.0,11.0,0.15,0.46,-0.85,-0.11,23.97,0.43,-0.05,33.81,0.05,-0.35,7024.31,-0.55,-1.06,2.94,0.4,1.98,17.93,0.3,0.24,10.47
USA,1999.0,11.0,0.49,0.74,-0.32,1.16,42.83,0.55,-1.67,25.11,1.59,0.29,7085.22,-0.47,-1.55,3.59,0.52,3.45,19.06,0.16,-0.32,9.22
USC,1999.0,11.0,0.45,0.66,-0.44,1.04,38.09,0.62,-1.68,27.71,1.13,0.06,7072.4,-0.56,-1.38,3.3,0.57,3.26,18.56,0.28,-0.11,9.84
ALA,1999.0,12.0,-0.1,0.01,0.97,0.35,36.58,-0.08,2.49,41.45,-1.91,-1.46,7001.0,-0.42,0.19,12.67,0.31,-0.58,5.33,-0.31,-0.57,8.37
CAR,1999.0,12.0,0.45,1.0,,,,-0.11,-0.11,10.42,,,,-0.6,-1.13,2.24,0.6,1.26,18.35,0.7,1.72,16.2
CEA,1999.0,12.0,0.44,0.4,-0.1,0.66,17.96,0.07,-0.38,37.39,2.02,0.92,7026.32,-0.49,-0.83,2.37,0.2,0.62,14.61,-0.04,-0.25,9.13
CWP,1999.0,12.0,0.24,0.09,-0.98,0.34,47.55,0.87,-0.03,50.37,0.72,-0.73,7053.8,-0.31,-0.96,1.53,0.36,0.13,10.88,0.14,-0.14,9.27
MID,1999.0,12.0,0.06,0.83,-0.1,2.12,29.27,0.12,-0.03,29.31,,,,-0.15,-0.84,2.27,0.02,0.83,15.78,0.14,0.38,11.58
NEA,1999.0,12.0,0.26,0.34,-0.92,-0.19,14.96,-0.05,-0.01,44.6,1.57,0.79,7095.0,-0.6,-1.02,1.59,0.45,1.01,16.29,-0.1,-0.58,7.89
NEF,1999.0,12.0,0.17,1.05,-0.18,3.02,22.58,0.34,-1.05,24.73,0.05,-0.48,6823.0,-0.49,-0.98,2.15,0.3,1.99,21.23,0.02,1.86,15.63
NPL,1999.0,12.0,-0.27,0.66,-0.51,-0.05,31.0,0.19,-0.83,10.99,-1.57,-1.14,7060.0,-0.2,-1.23,0.45,0.11,2.51,25.71,-0.03,2.26,20.1
NWP,1999.0,12.0,0.12,0.09,-0.64,-2.57,17.68,0.35,1.07,59.91,0.27,-1.09,7023.22,-0.4,-1.08,1.44,0.34,0.82,15.23,0.01,1.23,14.12
SEA,1999.0,12.0,0.43,0.26,-0.24,1.49,25.28,0.17,-0.62,48.55,1.66,1.29,7058.92,-0.27,-0.94,2.92,0.28,-0.53,6.0,0.46,-1.04,5.95
SPL,1999.0,12.0,0.43,1.0,-0.27,1.95,46.14,0.39,0.08,20.63,1.77,1.14,7106.0,-0.17,-0.99,2.09,0.33,0.83,14.12,0.19,1.02,13.08
SWP,1999.0,12.0,0.36,-0.45,-0.16,0.12,70.32,0.46,-1.61,8.69,0.99,-1.73,6978.38,-0.32,-1.04,3.33,0.6,0.05,10.55,-0.04,-0.56,6.62
CAN,1999.0,12.0,0.16,0.88,-0.84,-0.2,23.84,0.43,0.15,30.66,0.03,-1.06,6967.44,-0.56,-1.4,1.61,0.42,2.56,20.36,0.35,2.41,15.83
USA,1999.0,12.0,0.5,0.31,-0.28,1.3,43.22,0.54,-0.56,29.07,1.56,0.01,7029.47,-0.47,-1.15,4.0,0.52,0.23,11.04,0.18,-0.31,9.2
USC,1999.0,12.0,0.46,0.8,-0.4,1.15,38.35,0.62,-0.53,29.58,1.1,-0.38,7016.41,-0.56,-1.33,2.92,0.58,1.7,15.25,0.32,1.52,12.49
ALA,2000.0,1.0,-0.09,0.17,0.99,0.47,37.1,-0.03,2.02,31.28,-1.94,-2.57,6910.33,-0.41,0.18,12.69,0.31,-0.16,8.49,-0.27,1.4,14.9
CAR,2000.0,1.0,0.46,0.34,,,,-0.09,-0.5,8.45,,,,-0.6,-0.93,3.17,0.59,0.28,12.91,0.73,0.66,12.66
CEA,2000.0,1.0,0.44,0.49,-0.08,0.56,17.79,0.06,-0.48,29.9,2.01,0.24,6951.17,-0.48,0.04,10.39,0.19,1.19,17.91,0.0,1.47,16.31
CWP,2000.0,1.0,0.22,0.23,-0.98,0.36,47.74,0.87,1.0,65.72,0.68,-0.06,7103.0,-0.31,-1.07,0.93,0.33,-0.78,5.62,0.13,-0.18,8.92
MID,2000.0,1.0,0.07,0.46,-0.06,1.84,28.53,0.11,-0.22,20.13,,,,-0.14,-0.8,3.95,0.02,0.48,13.18,0.13,-0.61,6.82
NEA,2000.0,1.0,0.27,0.42,-0.91,-0.32,14.74,-0.06,0.67,47.71,1.6,1.44,7115.0,-0.6,-0.67,6.51,0.45,0.57,13.8,-0.08,-0.48,7.81
NEF,2000.0,1.0,0.17,0.53,-0.11,2.63,21.95,0.29,-0.07,24.69,0.01,-0.38,6757.0,-0.48,-0.73,6.29,0.29,0.29,11.62,0.03,-0.01,9.99
NPL,2000.0,1.0,-0.27,-0.41,-0.51,-0.01,31.16,0.19,-0.41,11.3,-1.57,-2.28,6840.0,-0.2,-1.08,1.02,0.1,-0.43,7.28,-0.02,-0.4,8.39
