Region,Year,Month,ACI_Combined_Monthly_Smoothed,ACI_Combined_Monthly_Unsmoothed,CDD_Monthly_Smoothed,CDD_Monthly_Unsmoothed,CDD_Monthly_Unsmoothed_Unstandardized,Rx5Day_Monthly_Smoothed,Rx5Day_Monthly_Unsmoothed,Rx5Day_Monthly_Unsmoothed_Unstandardized,Sea_Level_Monthly_Smoothed,Sea_Level_Monthly_Unsmoothed,Sea_Level_Monthly_Unsmoothed_Unstandardized,T10_Monthly_Smoothed,T10_Monthly_Unsmoothed,T10_Monthly_Unsmoothed_Unstandardized,T90_Monthly_Smoothed,T90_Monthly_Unsmoothed,T90_Monthly_Unsmoothed_Unstandardized,WP90_Monthly_Smoothed,WP90_Monthly_Unsmoothed,WP90_Monthly_Unsmoothed_Unstandardized
NEA,1961.0,4.0,-0.28,0.31,-0.22,1.63,18.01,-0.24,0.06,41.22,-0.95,0.82,6995.0,-0.04,-0.61,6.41,-0.01,-0.56,6.27,-0.32,-0.7,7.34
NEF,1961.0,4.0,0.04,-0.07,0.85,1.47,20.01,-0.2,-0.02,31.09,-0.2,0.05,7344.0,-0.03,-0.49,7.77,-0.15,-1.03,3.9,-0.08,-1.35,4.96
NPL,1961.0,4.0,0.2,0.31,-0.27,0.54,33.15,-0.18,-0.22,14.89,1.2,1.68,7370.0,-0.03,1.18,18.65,-0.14,-0.79,4.0,0.54,1.84,16.96
NWP,1961.0,4.0,0.3,0.38,0.72,1.67,27.62,0.14,0.55,34.65,-0.05,-0.17,6947.51,-0.05,0.43,12.76,0.05,-0.37,7.77,0.89,1.0,13.78
SEA,1961.0,4.0,-0.09,-0.17,-0.01,-0.3,21.65,0.12,0.75,72.8,-0.9,-0.93,6952.77,-0.17,1.23,16.18,-0.02,-1.16,4.07,0.11,1.86,18.32
SPL,1961.0,4.0,-0.09,-0.58,0.7,-0.42,38.55,-0.08,-1.25,24.57,-1.33,-1.48,6930.0,-0.16,1.14,15.66,-0.05,-0.66,7.05,0.04,1.47,16.0
SWP,1961.0,4.0,0.1,0.04,0.73,0.83,75.84,-0.38,-0.48,16.24,0.08,-0.4,6949.75,-0.28,-0.01,9.7,0.1,0.25,11.43,-0.21,0.04,10.27
CAN,1961.0,4.0,0.05,0.16,0.35,1.77,26.84,-0.17,0.19,26.51,-0.03,0.24,7100.79,-0.02,0.7,13.28,-0.14,-0.88,5.38,0.28,0.34,10.67
USA,1961.0,4.0,0.07,-0.11,0.88,0.37,40.7,-0.19,-0.33,33.74,-0.42,0.03,7003.4,-0.25,0.88,13.1,-0.03,-0.93,6.2,-0.08,1.06,13.15
USC,1961.0,4.0,0.08,-0.05,0.86,0.64,37.22,-0.25,-0.26,31.62,-0.3,0.12,7023.9,-0.17,0.88,13.18,-0.08,-1.04,5.86,0.07,1.09,11.92
ALA,1961.0,5.0,0.21,0.22,0.18,-0.27,33.91,-0.02,0.2,20.94,1.2,1.02,7035.11,0.03,-0.68,3.39,-0.09,0.45,13.25,0.04,-0.78,7.29
CAR,1961.0,5.0,-0.11,-0.82,,,,0.1,-1.26,6.1,,,,0.14,1.08,15.41,-0.21,-0.13,9.79,-0.17,-0.81,7.47
CEA,1961.0,5.0,-0.24,-0.6,-0.22,-0.45,15.94,-0.14,-0.19,45.23,-0.74,-0.73,7009.41,0.0,1.38,17.38,-0.05,-0.37,7.88,-0.26,-0.5,7.85
CWP,1961.0,5.0,0.11,0.23,0.46,0.4,48.01,-0.31,-0.26,24.28,0.24,1.05,6978.4,-0.23,-1.09,5.71,0.03,-0.57,6.71,0.0,-0.36,8.64
MID,1961.0,5.0,0.1,-0.03,0.74,0.22,24.33,-0.07,1.08,61.44,,,,-0.12,1.34,17.68,-0.12,-0.64,5.13,-0.17,0.52,12.36
NEA,1961.0,5.0,-0.25,0.67,-0.19,1.75,18.22,-0.2,2.22,76.62,-0.93,-0.36,6905.0,-0.08,0.26,11.15,0.02,0.14,10.91,-0.3,0.55,11.81
NEF,1961.0,5.0,0.05,-0.22,0.88,1.62,20.27,-0.23,-1.21,28.48,-0.2,-0.39,7184.0,-0.05,1.22,16.38,-0.13,-0.34,8.25,-0.05,0.22,10.64
NPL,1961.0,5.0,0.21,0.13,-0.25,0.47,32.89,-0.18,-1.21,17.95,1.2,1.12,7360.0,-0.02,0.46,12.26,-0.13,0.39,12.79,0.56,0.49,11.34
NWP,1961.0,5.0,0.29,0.43,0.74,1.55,27.35,0.14,-0.23,30.95,-0.04,-0.23,6961.49,-0.05,-0.2,8.62,0.04,0.58,12.96,0.84,0.71,12.19
SEA,1961.0,5.0,-0.1,-0.46,-0.05,-0.15,21.95,0.13,0.07,66.07,-0.89,-1.08,6987.69,-0.13,1.42,17.08,-0.06,-0.86,4.32,0.11,0.7,13.29
SPL,1961.0,5.0,-0.11,-0.46,0.65,-0.38,38.68,-0.08,-0.52,44.14,-1.33,-1.63,6962.67,-0.14,0.25,10.86,-0.08,-0.23,8.81,0.05,0.25,10.91
SWP,1961.0,5.0,0.09,-0.14,0.72,0.8,75.61,-0.39,-1.02,11.67,0.06,-1.31,6928.63,-0.28,-0.73,6.53,0.07,-0.73,6.21,-0.18,0.69,13.44
CAN,1961.0,5.0,0.06,-0.09,0.38,1.72,26.75,-0.18,-1.22,27.66,-0.03,-0.28,7052.4,-0.03,0.86,12.81,-0.12,0.11,10.68,0.28,-0.01,9.99
USA,1961.0,5.0,0.06,-0.22,0.85,0.39,40.76,-0.19,-0.23,39.2,-0.41,-0.9,6992.87,-0.23,0.35,10.69,-0.07,-0.73,7.65,-0.08,0.48,11.02
USC,1961.0,5.0,0.07,-0.21,0.84,0.65,37.24,-0.25,-0.57,36.11,-0.3,-0.66,7005.4,-0.16,0.66,11.57,-0.09,-0.39,8.92,0.08,0.37,10.51
ALA,1961.0,6.0,0.22,0.21,0.19,-0.27,33.9,0.0,0.55,27.82,1.19,1.65,7089.67,0.01,-0.47,7.21,-0.08,-0.82,5.34,0.04,-0.32,8.71
CAR,1961.0,6.0,-0.1,0.52,,,,0.08,-0.47,16.52,,,,0.11,-1.25,5.34,-0.17,1.08,15.97,-0.2,0.21,10.58
CEA,1961.0,6.0,-0.24,-0.5,-0.23,-0.31,16.2,-0.14,-0.01,50.08,-0.75,-1.54,6994.77,0.0,0.09,10.1,-0.08,-0.8,5.88,-0.25,-0.25,8.95
CWP,1961.0,6.0,0.12,0.53,0.46,0.31,47.36,-0.32,-0.92,16.86,0.23,1.06,6986.8,-0.27,-1.68,2.29,0.07,2.06,23.46,-0.02,-1.0,4.79
MID,1961.0,6.0,0.09,-0.24,0.73,0.39,24.78,-0.08,-0.99,42.97,,,,-0.1,0.72,13.47,-0.15,-0.16,8.66,-0.15,0.26,11.15
NEA,1961.0,6.0,-0.23,0.18,-0.16,1.88,18.43,-0.2,0.1,45.6,-0.91,-0.68,6925.0,-0.14,-1.1,5.75,0.02,-0.69,6.7,-0.3,-0.63,7.44
NEF,1961.0,6.0,0.06,0.14,0.91,1.78,20.52,-0.22,0.04,44.83,-0.21,-0.14,6974.4,-0.05,0.11,10.25,-0.15,-0.71,6.75,-0.02,-0.05,9.89
NPL,1961.0,6.0,0.2,0.67,-0.23,0.4,32.64,-0.22,-1.64,23.22,1.2,1.44,7440.0,-0.03,-1.05,4.27,-0.1,2.34,26.73,0.5,0.41,11.29
NWP,1961.0,6.0,0.3,0.98,0.75,1.44,27.08,0.13,0.08,34.97,-0.04,0.61,7087.67,-0.09,-1.41,4.56,0.08,0.98,16.27,0.81,1.37,14.87
SEA,1961.0,6.0,-0.11,-0.51,-0.08,0.0,22.25,0.16,0.56,73.0,-0.9,-1.7,6979.85,-0.1,1.82,19.17,-0.07,-1.01,3.19,0.14,0.9,14.37
SPL,1961.0,6.0,-0.12,-0.4,0.59,-0.35,38.8,-0.02,0.9,57.65,-1.33,-1.55,6939.0,-0.11,0.33,11.27,-0.11,0.42,11.74,0.03,-1.5,4.07
SWP,1961.0,6.0,0.09,0.29,0.7,0.77,75.39,-0.38,-0.63,12.06,0.05,-0.28,7003.13,-0.28,-1.2,4.11,0.08,1.33,17.94,-0.2,-0.64,6.0
CAN,1961.0,6.0,0.06,0.64,0.42,1.67,26.67,-0.21,-1.24,33.67,-0.04,0.27,7064.13,-0.06,-1.3,6.5,-0.1,1.38,15.2,0.26,0.46,10.94
USA,1961.0,6.0,0.05,-0.18,0.82,0.42,40.82,-0.15,0.09,42.0,-0.42,-1.15,7003.43,-0.21,0.11,9.93,-0.08,0.39,10.92,-0.08,-0.72,8.11
USC,1961.0,6.0,0.07,0.15,0.82,0.67,37.27,-0.23,-0.29,39.8,-0.3,-0.57,7016.21,-0.17,-0.47,8.6,-0.09,0.93,12.58,0.07,-0.3,9.51
ALA,1961.0,7.0,0.22,-0.11,0.2,-0.27,33.89,0.0,0.31,35.29,1.19,1.21,7078.89,0.03,1.89,16.84,-0.09,-1.06,5.09,0.06,1.06,13.17
CAR,1961.0,7.0,-0.07,1.05,,,,0.12,1.59,52.08,,,,0.07,-1.09,6.19,-0.15,0.96,14.66,-0.18,0.57,11.44
CEA,1961.0,7.0,-0.24,-0.66,-0.24,-0.17,16.45,-0.15,-0.41,46.99,-0.75,-1.22,7016.77,-0.04,-0.32,8.72,-0.07,-0.89,4.92,-0.27,-1.62,4.65
CWP,1961.0,7.0,0.11,-0.03,0.47,0.22,46.71,-0.32,-0.68,8.71,0.22,-0.13,6925.2,-0.28,-1.32,3.19,0.08,0.9,14.03,-0.05,-1.81,3.47
MID,1961.0,7.0,0.09,-0.18,0.72,0.57,25.23,-0.08,0.26,56.63,,,,-0.11,-0.14,9.17,-0.16,-0.9,3.76,-0.15,-0.96,6.25
NEA,1961.0,7.0,-0.23,-0.35,-0.13,2.0,18.63,-0.21,-1.71,28.59,-0.92,-1.72,6895.0,-0.15,0.03,10.13,0.03,-0.53,7.13,-0.28,-0.13,9.46
NEF,1961.0,7.0,0.07,0.03,0.94,1.93,20.78,-0.23,-0.58,42.23,-0.21,0.53,6932.0,-0.09,-0.35,8.62,-0.14,-0.8,5.88,-0.02,-1.24,6.43
NPL,1961.0,7.0,0.21,0.43,-0.21,0.33,32.39,-0.23,-0.74,30.74,1.21,1.45,7445.0,-0.04,-0.16,9.17,-0.07,0.83,14.39,0.52,0.57,11.9
NWP,1961.0,7.0,0.32,0.64,0.77,1.32,26.81,0.14,-0.87,28.92,-0.05,-0.44,6991.33,-0.12,-1.4,5.31,0.1,1.2,15.78,0.82,1.25,14.15
SEA,1961.0,7.0,-0.12,-0.33,-0.11,0.15,22.56,0.15,-0.37,64.58,-0.87,-0.93,7006.0,-0.09,0.41,11.21,-0.08,-0.76,3.5,0.13,0.37,11.44
SPL,1961.0,7.0,-0.13,-0.32,0.53,-0.31,38.92,0.01,1.08,46.75,-1.3,-0.57,6944.33,-0.09,0.69,12.59,-0.13,-0.9,4.97,0.02,-0.51,8.0
SWP,1961.0,7.0,0.09,-0.08,0.68,0.74,75.16,-0.38,-0.84,16.9,0.05,-0.49,7039.38,-0.28,-0.12,8.91,0.1,0.51,11.11,-0.2,-0.5,7.92
CAN,1961.0,7.0,0.08,0.37,0.46,1.61,26.59,-0.22,-1.21,33.36,-0.03,0.32,6995.13,-0.09,-0.73,7.97,-0.08,0.34,11.32,0.28,0.44,10.69
USA,1961.0,7.0,0.05,-0.37,0.78,0.44,40.88,-0.13,0.34,40.74,-0.4,-0.66,7015.52,-0.21,0.67,10.96,-0.08,-0.92,6.47,-0.09,-0.74,8.6
USC,1961.0,7.0,0.08,-0.1,0.79,0.68,37.29,-0.22,-0.19,38.94,-0.29,-0.24,7011.22,-0.18,0.11,9.84,-0.08,-0.5,8.29,0.07,-0.26,9.64
